"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060795","GO:0060795","cell fate commitment involved in formation of primary germ layer","3/20","34/18860",0.0882352941176471,83.2058823529412,15.6313758406935,5.97566209580948e-06,0.000306441338406767,0.000161954146963174,"6928/6657/5460",3
"GO:0030072","GO:0030072","peptide hormone secretion","5/20","258/18860",0.0193798449612403,18.2751937984496,9.10304815071339,6.03981891050681e-06,0.000306441338406767,0.000161954146963174,"3170/6927/3630/6833/6928",5
"GO:0002790","GO:0002790","peptide secretion","5/20","266/18860",0.018796992481203,17.7255639097744,8.95094838856187,7.00690384772214e-06,0.000337732765460207,0.000178491655910396,"3170/6927/3630/6833/6928",5
"GO:0055075","GO:0055075","potassium ion homeostasis","3/20","37/18860",0.0810810810810811,76.4594594594595,14.9693867730152,7.74344673673716e-06,0.000355461078772125,0.00018786106368826,"6559/6557/7369",3
"GO:0042593","GO:0042593","glucose homeostasis","5/20","281/18860",0.0177935943060498,16.779359430605,8.68290881678603,9.14492979607314e-06,0.000389949910958567,0.000206088400200859,"3170/6927/7466/3630/6833",5
"GO:0033500","GO:0033500","carbohydrate homeostasis","5/20","282/18860",0.0177304964539007,16.7198581560284,8.66577835214133,9.30378418262142e-06,0.000389949910958567,0.000206088400200859,"3170/6927/7466/3630/6833",5
"GO:0015833","GO:0015833","peptide transport","5/20","292/18860",0.0171232876712329,16.1472602739726,8.49917611987535,1.10143800283027e-05,0.000442410931136827,0.00023381403217976,"3170/6927/3630/6833/6928",5
"GO:0035270","GO:0035270","endocrine system development","4/20","138/18860",0.0289855072463768,27.3333333333333,10.1158676387918,1.21388726316458e-05,0.000468074928676261,0.000247377446472276,"3170/6928/2253/6657",4
"GO:0071542","GO:0071542","dopaminergic neuron differentiation","3/20","44/18860",0.0681818181818182,64.2954545454545,13.6952223580163,1.3136403622817e-05,0.000477790545704594,0.000252512146889084,"3170/5015/2253",3
"GO:0045165","GO:0045165","cell fate commitment","5/20","304/18860",0.0164473684210526,15.5098684210526,8.3098266266775,1.3382100346498e-05,0.000477790545704594,0.000252512146889084,"3170/6928/2253/6657/5460",5
"GO:0055078","GO:0055078","sodium ion homeostasis","3/20","47/18860",0.0638297872340425,60.1914893617021,13.2377156414689,1.60506691397352e-05,0.00055260160895374,0.000292049769309468,"6559/6557/7369",3
"GO:1990573","GO:1990573","potassium ion import across plasma membrane","3/20","52/18860",0.0576923076923077,54.4038461538462,12.5642560594136,2.18021812132926e-05,0.000724734575503934,0.000383021985743507,"6833/6559/6557",3
"GO:0035987","GO:0035987","endodermal cell differentiation","3/20","53/18860",0.0566037735849057,53.377358490566,12.4410101259236,2.30946885372281e-05,0.000742109324996263,0.000392204535158541,"6928/6657/5460",3
"GO:0001706","GO:0001706","endoderm formation","3/20","62/18860",0.0483870967741935,45.6290322580645,11.4680973421863,3.70588751284195e-05,0.00115241147173537,0.000609049085302378,"6928/6657/5460",3
"GO:0009306","GO:0009306","protein secretion","5/20","388/18860",0.0128865979381443,12.1520618556701,7.23182571649913,4.31547029409554e-05,0.00126930302705225,0.000670826233995731,"3170/6927/3630/6833/6928",5
"GO:0050878","GO:0050878","regulation of body fluid levels","5/20","389/18860",0.012853470437018,12.120822622108,7.22105061514922,4.36873433437947e-05,0.00126930302705225,0.000670826233995731,"3170/7466/7369/359/3710",5
"GO:0035592","GO:0035592","establishment of protein localization to extracellular region","5/20","391/18860",0.0127877237851662,12.0588235294118,7.19961867487425,4.47679490869052e-05,0.00126930302705225,0.000670826233995731,"3170/6927/3630/6833/6928",5
"GO:0071692","GO:0071692","protein localization to extracellular region","5/20","398/18860",0.0125628140703518,11.8467336683417,7.12582279584654,4.87146078138961e-05,0.00134173948378845,0.000709108877651901,"3170/6927/3630/6833/6928",5
"GO:0090009","GO:0090009","primitive streak formation","2/20","11/18860",0.181818181818182,171.454545454545,18.4244550400865,5.84249477501819e-05,0.00156449026753265,0.000826832593891463,"3170/5015",2
"GO:0030073","GO:0030073","insulin secretion","4/20","213/18860",0.0187793427230047,17.7089201877934,7.99038268808297,6.64885621497694e-05,0.00173229659222643,0.000915518181521719,"3170/6927/6833/6928",4
"GO:0009415","GO:0009415","response to water","2/20","12/18860",0.166666666666667,157.166666666667,17.631132362551,7.0065339942137e-05,0.0017774470448479,0.000939380180941671,"7369/359",2
"GO:0035019","GO:0035019","somatic stem cell population maintenance","3/20","78/18860",0.0384615384615385,36.2692307692308,10.1696556984954,7.37427701848751e-05,0.00182277001174922,0.000963333354102012,"6928/6657/5460",3
"GO:0003002","GO:0003002","regionalization","5/20","440/18860",0.0113636363636364,10.7159090909091,6.71891035596909,7.84025889017303e-05,0.00185524400546055,0.000980495849140541,"3170/6928/5015/2253/5460",5
"GO:0140962","GO:0140962","multicellular organismal-level chemical homeostasis","3/20","80/18860",0.0375,35.3625,10.0349642871732,7.95325416451966e-05,0.00185524400546055,0.000980495849140541,"7466/7369/359",3
"GO:0009952","GO:0009952","anterior/posterior pattern specification","4/20","224/18860",0.0178571428571429,16.8392857142857,7.76993042479484,8.08301330179909e-05,0.00185524400546055,0.000980495849140541,"3170/6928/5015/2253",4
"GO:0045216","GO:0045216","cell-cell junction organization","4/20","226/18860",0.0176991150442478,16.6902654867257,7.73152821250742,8.36618008476726e-05,0.00187558083760829,0.00099124385826863,"6833/5314/10686/4867",4
"GO:2000027","GO:2000027","regulation of animal organ morphogenesis","3/20","84/18860",0.0357142857142857,33.6785714285714,9.77991423640512,9.19876935311476e-05,0.00201536674009151,0.0010651206619396,"5314/2253/5460",3
"GO:0120193","GO:0120193","tight junction organization","3/20","88/18860",0.0340909090909091,32.1477272727273,9.54215145641201,0.00010565357832096,0.00226333443336456,0.00119617150660455,"6833/10686/4867",3
"GO:0010470","GO:0010470","regulation of gastrulation","2/20","15/18860",0.133333333333333,125.733333333333,15.7457722684785,0.000111255022941844,0.00228191153438165,0.00120598949840655,"3170/5015",2
"GO:0072044","GO:0072044","collecting duct development","2/20","15/18860",0.133333333333333,125.733333333333,15.7457722684785,0.000111255022941844,0.00228191153438165,0.00120598949840655,"7369/359",2
"GO:0007389","GO:0007389","pattern specification process","5/20","486/18860",0.0102880658436214,9.70164609053498,6.33215552884719,0.00012525173262,0.00249986310845129,0.00132117683390525,"3170/6928/5015/2253/5460",5
"GO:0021984","GO:0021984","adenohypophysis development","2/20","16/18860",0.125,117.875,15.2380342815151,0.0001270677306163,0.00249986310845129,0.00132117683390525,"2253/6657",2
"GO:0072080","GO:0072080","nephron tubule development","3/20","99/18860",0.0303030303030303,28.5757575757576,8.96294923983061,0.000149894812806404,0.00288997199090747,0.00152734925049052,"6928/7369/2253",3
"GO:0001823","GO:0001823","mesonephros development","3/20","103/18860",0.029126213592233,27.4660194174757,8.7752486012683,0.00016855349923157,0.00315469412204252,0.00166725481007707,"6928/5972/2253",3
"GO:0046883","GO:0046883","regulation of hormone secretion","4/20","272/18860",0.0147058823529412,13.8676470588235,6.96467955443117,0.000170891988410174,0.00315469412204252,0.00166725481007707,"3170/3630/6833/5972",4
"GO:0061326","GO:0061326","renal tubule development","3/20","104/18860",0.0288461538461538,27.2019230769231,8.72998713668979,0.000173442726626819,0.00315469412204252,0.00166725481007707,"6928/7369/2253",3
"GO:0070294","GO:0070294","renal sodium ion absorption","2/20","21/18860",0.0952380952380952,89.8095238095238,13.2670432394356,0.000221662375988276,0.0039570838972722,0.00209131754343715,"6559/7369",2
"GO:0040019","GO:0040019","positive regulation of embryonic development","2/20","22/18860",0.0909090909090909,85.7272727272727,12.9554066745716,0.000243673574983504,0.00427093320516541,0.00225718679984719,"3170/5015",2
"GO:0006874","GO:0006874","intracellular calcium ion homeostasis","4/20","304/18860",0.0131578947368421,12.4078947368421,6.53332095699786,0.000261505001897615,0.00450162181838038,0.00237910565636176,"7466/5314/7369/3710",4
"GO:0001759","GO:0001759","organ induction","2/20","23/18860",0.0869565217391304,82,12.6641762731549,0.000266710892745433,0.00451068948432627,0.00238389791484376,"2253/5460",2
"GO:0072009","GO:0072009","nephron epithelium development","3/20","122/18860",0.0245901639344262,23.1885245901639,8.01088693135796,0.000277796246603174,0.0046171652021631,0.00244017029684095,"6928/7369/2253",3
"GO:0003096","GO:0003096","renal sodium ion transport","2/20","24/18860",0.0833333333333333,78.5833333333333,12.391206476856,0.000290772347011265,0.00475092444947219,0.00251086201522662,"6559/7369",2
"GO:0055074","GO:0055074","calcium ion homeostasis","4/20","331/18860",0.0120845921450151,11.3957703927492,6.21696702604293,0.000361411913380892,0.00578301204558688,0.00305631997167946,"7466/5314/7369/3710",4
"GO:0034219","GO:0034219","carbohydrate transmembrane transport","3/20","134/18860",0.0223880597014925,21.1119402985075,7.61233232549762,0.000365937484212448,0.00578301204558688,0.00305631997167946,"6927/3630/359",3
"GO:0001704","GO:0001704","formation of primary germ layer","3/20","135/18860",0.0222222222222222,20.9555555555556,7.58147439934599,0.000374001313072355,0.00581511719035081,0.00307328753017012,"6928/6657/5460",3
"GO:0001702","GO:0001702","gastrulation with mouth forming second","2/20","28/18860",0.0714285714285714,67.3571428571429,11.4485991610688,0.000397219978053415,0.00586172154179567,0.00309791791464195,"3170/5015",2
"GO:1904036","GO:1904036","negative regulation of epithelial cell apoptotic process","2/20","28/18860",0.0714285714285714,67.3571428571429,11.4485991610688,0.000397219978053415,0.00586172154179567,0.00309791791464195,"7466/5314",2
"GO:0008643","GO:0008643","carbohydrate transport","3/20","138/18860",0.0217391304347826,20.5,7.49086401100405,0.000398878532847391,0.00586172154179567,0.00309791791464195,"6927/3630/359",3
"GO:0098659","GO:0098659","inorganic cation import across plasma membrane","3/20","139/18860",0.0215827338129496,20.3525179856115,7.46129544507277,0.000407401808402811,0.00586172154179567,0.00309791791464195,"6833/6559/6557",3
"GO:0099587","GO:0099587","inorganic ion import across plasma membrane","3/20","139/18860",0.0215827338129496,20.3525179856115,7.46129544507277,0.000407401808402811,0.00586172154179567,0.00309791791464195,"6833/6559/6557",3
"GO:0003156","GO:0003156","regulation of animal organ formation","2/20","29/18860",0.0689655172413793,65.0344827586207,11.2437218132802,0.000426372475049826,0.00604445685217694,0.00319449346631758,"2253/5460",2
"GO:0072073","GO:0072073","kidney epithelium development","3/20","151/18860",0.0198675496688742,18.7350993377483,7.12903407266253,0.00051896711339881,0.00705886842634228,0.00373060965096054,"6928/7369/2253",3
"GO:0001736","GO:0001736","establishment of planar polarity","2/20","32/18860",0.0625,58.9375,10.6872636824354,0.000519895911068778,0.00705886842634228,0.00373060965096054,"5314/4867",2
"GO:0007164","GO:0007164","establishment of tissue polarity","2/20","32/18860",0.0625,58.9375,10.6872636824354,0.000519895911068778,0.00705886842634228,0.00373060965096054,"5314/4867",2
"GO:0072006","GO:0072006","nephron development","3/20","160/18860",0.01875,17.68125,6.90401391539294,0.000614352078828171,0.00810902621069136,0.00428561769597578,"6928/7369/2253",3
"GO:0031128","GO:0031128","developmental induction","2/20","35/18860",0.0571428571428571,53.8857142857143,10.2032559941304,0.000622477115758465,0.00810902621069136,0.00428561769597578,"2253/5460",2
"GO:0110110","GO:0110110","positive regulation of animal organ morphogenesis","2/20","35/18860",0.0571428571428571,53.8857142857143,10.2032559941304,0.000622477115758465,0.00810902621069136,0.00428561769597578,"2253/5460",2
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","3/20","166/18860",0.0180722891566265,17.0421686746988,6.76394211187989,0.000683781894847977,0.00878887662177933,0.00464491841552872,"6928/5314/2253",3
"GO:0006884","GO:0006884","cell volume homeostasis","2/20","37/18860",0.0540540540540541,50.972972972973,9.91346566737291,0.000695870632942819,0.00882656960732733,0.00466483914604327,"6559/6557",2
"GO:0010092","GO:0010092","specification of animal organ identity","2/20","38/18860",0.0526315789473684,49.6315789473684,9.77712489291467,0.000734063363280423,0.00919009197665361,0.00485696059914867,"2253/5460",2
"GO:0021983","GO:0021983","pituitary gland development","2/20","43/18860",0.0465116279069767,43.8604651162791,9.16747625671341,0.000939909124367254,0.0116163127678209,0.00613921749249327,"2253/6657",2
"GO:0009410","GO:0009410","response to xenobiotic stimulus","4/20","443/18860",0.0090293453724605,8.51467268623025,5.21478451032614,0.00107918017962058,0.0130352350375505,0.00688911744723133,"6833/5972/7369/2253",4
"GO:0019827","GO:0019827","stem cell population maintenance","3/20","195/18860",0.0153846153846154,14.5076923076923,6.17757955086311,0.00108983953987339,0.0130352350375505,0.00688911744723133,"6928/6657/5460",3
"GO:0031018","GO:0031018","endocrine pancreas development","2/20","47/18860",0.0425531914893617,40.1276595744681,8.75059635681573,0.00112232832792188,0.0130352350375505,0.00688911744723133,"3170/6928",2
"GO:0045840","GO:0045840","positive regulation of mitotic nuclear division","2/20","47/18860",0.0425531914893617,40.1276595744681,8.75059635681573,0.00112232832792188,0.0130352350375505,0.00688911744723133,"3630/2253",2
"GO:0048806","GO:0048806","genitalia development","2/20","47/18860",0.0425531914893617,40.1276595744681,8.75059635681573,0.00112232832792188,0.0130352350375505,0.00688911744723133,"6928/2253",2
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","3/20","199/18860",0.0150753768844221,14.21608040201,6.10654599666283,0.0011555249324898,0.0132482837477322,0.00700171362077135,"6928/5314/2253",3
"GO:0098727","GO:0098727","maintenance of cell number","3/20","200/18860",0.015,14.145,6.0891075850361,0.00117232917564185,0.0132482837477322,0.00700171362077135,"6928/6657/5460",3
"GO:0048732","GO:0048732","gland development","4/20","454/18860",0.00881057268722467,8.30837004405286,5.13573522348158,0.00118190083226657,0.0132482837477322,0.00700171362077135,"6927/6928/2253/6657",4
"GO:0051223","GO:0051223","regulation of protein transport","4/20","458/18860",0.00873362445414847,8.23580786026201,5.10765001211661,0.00122090719042481,0.0135282130065462,0.0071496561423546,"3170/3630/6833/7369",4
"GO:0071805","GO:0071805","potassium ion transmembrane transport","3/20","208/18860",0.0144230769230769,13.6009615384615,5.95396844914132,0.00131236347173122,0.0143763453039647,0.00759789378370705,"6833/6559/6557",3
"GO:0009749","GO:0009749","response to glucose","3/20","209/18860",0.0143540669856459,13.5358851674641,5.93760039750938,0.00133057603393059,0.0144120819854954,0.00761678060818929,"3170/6833/6928",3
"GO:0090276","GO:0090276","regulation of peptide hormone secretion","3/20","211/18860",0.014218009478673,13.4075829383886,5.90519874724912,0.00136747931458287,0.0146472228806431,0.00774105249424687,"3170/3630/6833",3
"GO:0001763","GO:0001763","morphogenesis of a branching structure","3/20","214/18860",0.014018691588785,13.2196261682243,5.85741298237592,0.0014240376704301,0.0149597614769641,0.00790622904002035,"6928/5314/2253",3
"GO:0002791","GO:0002791","regulation of peptide secretion","3/20","215/18860",0.013953488372093,13.1581395348837,5.84169715165506,0.00144321350348305,0.0149597614769641,0.00790622904002035,"3170/3630/6833",3
"GO:0009746","GO:0009746","response to hexose","3/20","215/18860",0.013953488372093,13.1581395348837,5.84169715165506,0.00144321350348305,0.0149597614769641,0.00790622904002035,"3170/6833/6928",3
"GO:0090087","GO:0090087","regulation of peptide transport","3/20","217/18860",0.0138248847926267,13.036866359447,5.81057732180002,0.00148205291618827,0.0151989256511223,0.00803262722771695,"3170/3630/6833",3
"GO:0098739","GO:0098739","import across plasma membrane","3/20","218/18860",0.0137614678899083,12.9770642201835,5.7951709560086,0.00150171754753744,0.0152384812192221,0.00805353233249998,"6833/6559/6557",3
"GO:0034284","GO:0034284","response to monosaccharide","3/20","222/18860",0.0135135135135135,12.7432432432432,5.73454241234751,0.00158202108816656,0.015799275488514,0.0083499119201144,"3170/6833/6928",3
"GO:0001738","GO:0001738","morphogenesis of a polarized epithelium","2/20","56/18860",0.0357142857142857,33.6785714285714,7.97931911082918,0.0015897611228069,0.015799275488514,0.0083499119201144,"5314/4867",2
"GO:1904035","GO:1904035","regulation of epithelial cell apoptotic process","2/20","58/18860",0.0344827586206897,32.5172413793103,7.83238540192855,0.00170424619907395,0.0167642177133397,0.00885988356983665,"7466/5314",2
"GO:0009948","GO:0009948","anterior/posterior axis specification","2/20","60/18860",0.0333333333333333,31.4333333333333,7.69272313488188,0.00182255700731019,0.0177469187378487,0.00937924073937409,"3170/5015",2
"GO:0001658","GO:0001658","branching involved in ureteric bud morphogenesis","2/20","61/18860",0.0327868852459016,30.9180327868852,7.62543206340281,0.00188314234449816,0.0181534922009623,0.00959411468144328,"6928/2253",2
"GO:0007632","GO:0007632","visual behavior","2/20","62/18860",0.032258064516129,30.4193548387097,7.55974324255432,0.00194467846014382,0.0185610894611747,0.00980952969994382,"6833/4867",2
"GO:0006813","GO:0006813","potassium ion transport","3/20","240/18860",0.0125,11.7875,5.47987270476703,0.00197673314988234,0.0186820662400644,0.00987346588795718,"6833/6559/6557",3
"GO:0051785","GO:0051785","positive regulation of nuclear division","2/20","63/18860",0.0317460317460317,29.9365079365079,7.49559308848452,0.00200716347478017,0.0187854911620202,0.00992812592533062,"3630/2253",2
"GO:0060261","GO:0060261","positive regulation of transcription initiation by RNA polymerase II","2/20","65/18860",0.0307692307692308,29.0153846153846,7.37167162851115,0.002134972696035,0.0195108927720258,0.0103115004385897,"6927/6928",2
"GO:0061178","GO:0061178","regulation of insulin secretion involved in cellular response to glucose stimulus","2/20","65/18860",0.0307692307692308,29.0153846153846,7.37167162851115,0.002134972696035,0.0195108927720258,0.0103115004385897,"3170/6833",2
"GO:0009743","GO:0009743","response to carbohydrate","3/20","247/18860",0.0121457489878543,11.4534412955466,5.38807275661278,0.00214538862430989,0.0195108927720258,0.0103115004385897,"3170/6833/6928",3
"GO:0051289","GO:0051289","protein homotetramerization","2/20","66/18860",0.0303030303030303,28.5757575757576,7.31178963241565,0.00220029315658872,0.0198232018967432,0.0104765557086959,"359/3710",2
"GO:0060675","GO:0060675","ureteric bud morphogenesis","2/20","67/18860",0.0298507462686567,28.1492537313433,7.25322449746765,0.00226655502399774,0.0202311022512391,0.010692130912426,"6928/2253",2
"GO:0072171","GO:0072171","mesonephric tubule morphogenesis","2/20","68/18860",0.0294117647058824,27.7352941176471,7.19592783786431,0.00233375643164671,0.0205844438170675,0.0108788718142178,"6928/2253",2
"GO:0006814","GO:0006814","sodium ion transport","3/20","255/18860",0.0117647058823529,11.0941176470588,5.28758660880718,0.0023488473235243,0.0205844438170675,0.0108788718142178,"6559/6557/7369",3
"GO:0048645","GO:0048645","animal organ formation","2/20","69/18860",0.0289855072463768,27.3333333333333,7.13985372659937,0.00240189551548177,0.0208597051975174,0.0110243473636148,"2253/5460",2
"GO:0045927","GO:0045927","positive regulation of growth","3/20","263/18860",0.0114068441064639,10.7566539923954,5.19148030924016,0.0025639560173973,0.0220683357211696,0.0116631081994388,"7466/3630/2253",3
"GO:2000144","GO:2000144","positive regulation of DNA-templated transcription initiation","2/20","73/18860",0.0273972602739726,25.8356164383562,6.9269417439986,0.00268379142109627,0.0228953533622726,0.0121001867518453,"6927/6928",2
"GO:0060260","GO:0060260","regulation of transcription initiation by RNA polymerase II","2/20","74/18860",0.027027027027027,25.4864864864865,6.87636709311061,0.0027565910145034,0.0231074238085328,0.0122122659132233,"6927/6928",2
"GO:0070830","GO:0070830","bicellular tight junction assembly","2/20","74/18860",0.027027027027027,25.4864864864865,6.87636709311061,0.0027565910145034,0.0231074238085328,0.0122122659132233,"10686/4867",2
"GO:0035773","GO:0035773","insulin secretion involved in cellular response to glucose stimulus","2/20","75/18860",0.0266666666666667,25.1466666666667,6.8267829911634,0.00283031715340223,0.0235209115162047,0.0124307940312766,"3170/6833",2
"GO:0072078","GO:0072078","nephron tubule morphogenesis","2/20","76/18860",0.0263157894736842,24.8157894736842,6.77815690293151,0.00290496799158795,0.0239349499477845,0.0126496132067347,"6928/2253",2
"GO:0050709","GO:0050709","negative regulation of protein secretion","2/20","77/18860",0.025974025974026,24.4935064935065,6.73045777383517,0.00298054168539393,0.0243495100399979,0.0128687080796669,"3630/6833",2
"GO:0072088","GO:0072088","nephron epithelium morphogenesis","2/20","78/18860",0.0256410256410256,24.1794871794872,6.68365594434013,0.00305703639368891,0.0247645637270261,0.0130880638172971,"6928/2253",2
"GO:0050708","GO:0050708","regulation of protein secretion","3/20","281/18860",0.0106761565836299,10.067615658363,4.98963727225323,0.00309172224600657,0.0248368353762528,0.0131262593602384,"3170/3630/6833",3
"GO:0003018","GO:0003018","vascular process in circulatory system","3/20","283/18860",0.0106007067137809,9.99646643109541,4.96833955918608,0.00315418402020131,0.0251292016154881,0.0132807748219002,"3630/6833/5972",3
"GO:0072028","GO:0072028","nephron morphogenesis","2/20","80/18860",0.025,23.575,6.59263204897589,0.00321278150187987,0.0251798485187983,0.0133075416937087,"6928/2253",2
"GO:0120192","GO:0120192","tight junction assembly","2/20","80/18860",0.025,23.575,6.59263204897589,0.00321278150187987,0.0251798485187983,0.0133075416937087,"10686/4867",2
"GO:0061333","GO:0061333","renal tubule morphogenesis","2/20","81/18860",0.0246913580246914,23.2839506172839,6.54835694962803,0.0032920282321638,0.025592864643596,0.0135258205803674,"6928/2253",2
"GO:0021536","GO:0021536","diencephalon development","2/20","83/18860",0.0240963855421687,22.7228915662651,6.46215627291574,0.00345326089001085,0.0262121535273264,0.0138531145525508,"2253/6657",2
"GO:0043297","GO:0043297","apical junction assembly","2/20","83/18860",0.0240963855421687,22.7228915662651,6.46215627291574,0.00345326089001085,0.0262121535273264,0.0138531145525508,"10686/4867",2
"GO:0046323","GO:0046323","D-glucose import","2/20","83/18860",0.0240963855421687,22.7228915662651,6.46215627291574,0.00345326089001085,0.0262121535273264,0.0138531145525508,"6927/3630",2
"GO:2000142","GO:2000142","regulation of DNA-templated transcription initiation","2/20","84/18860",0.0238095238095238,22.452380952381,6.42018413624846,0.00353524316309572,0.0266248000720646,0.0140711981162691,"6927/6928",2
"GO:0007548","GO:0007548","sex differentiation","3/20","297/18860",0.0101010101010101,9.52525252525253,4.8249772860531,0.00361333543800223,0.0270019795522027,0.0142705373479647,"6928/5972/2253",3
"GO:1904019","GO:1904019","epithelial cell apoptotic process","2/20","86/18860",0.0232558139534884,21.9302325581395,6.33838699113278,0.00370193048026007,0.0274512383305439,0.0145079704651488,"7466/5314",2
"GO:0045995","GO:0045995","regulation of embryonic development","2/20","90/18860",0.0222222222222222,20.9555555555556,6.18282309019636,0.0040461452996546,0.0297746875486033,0.015735912615772,"3170/5015",2
"GO:0008543","GO:0008543","fibroblast growth factor receptor signaling pathway","2/20","91/18860",0.021978021978022,20.7252747252747,6.14549781300703,0.00413444680166721,0.0301939902788423,0.0159575139713471,"5015/2253",2
"GO:0048608","GO:0048608","reproductive structure development","3/20","318/18860",0.00943396226415094,8.89622641509434,4.62688540324775,0.00437574183470937,0.0317159032230063,0.0167618444637858,"6928/5972/2253",3
"GO:0061458","GO:0061458","reproductive system development","3/20","323/18860",0.00928792569659443,8.75851393188855,4.58241016195987,0.00457062030202092,0.0328811788891654,0.0173776922716271,"6928/5972/2253",3
"GO:0001657","GO:0001657","ureteric bud development","2/20","98/18860",0.0204081632653061,19.2448979591837,5.89995622872053,0.00477753058754637,0.0338642609293728,0.0178972508078362,"6928/2253",2
"GO:0060993","GO:0060993","kidney morphogenesis","2/20","98/18860",0.0204081632653061,19.2448979591837,5.89995622872053,0.00477753058754637,0.0338642609293728,0.0178972508078362,"6928/2253",2
"GO:0072163","GO:0072163","mesonephric epithelium development","2/20","99/18860",0.0202020202020202,19.0505050505051,5.86695615076091,0.00487294575815956,0.0340210009007271,0.0179800878313517,"6928/2253",2
"GO:0072164","GO:0072164","mesonephric tubule development","2/20","99/18860",0.0202020202020202,19.0505050505051,5.86695615076091,0.00487294575815956,0.0340210009007271,0.0179800878313517,"6928/2253",2
"GO:0009798","GO:0009798","axis specification","2/20","100/18860",0.02,18.86,5.83443648519845,0.00496924207397402,0.0340210009007271,0.0179800878313517,"3170/5015",2
"GO:0051262","GO:0051262","protein tetramerization","2/20","100/18860",0.02,18.86,5.83443648519845,0.00496924207397402,0.0340210009007271,0.0179800878313517,"359/3710",2
"GO:0050890","GO:0050890","cognition","3/20","333/18860",0.00900900900900901,8.4954954954955,4.49628459501975,0.00497610075415199,0.0340210009007271,0.0179800878313517,"3630/6833/3710",3
